Date,Mandi,Commodity,Predicted_Price
2026-03-29T00:00:00.000Z,Lasalgaon(Niphad),Onion,1469.78
2026-03-29T00:00:00.000Z,Lasalgaon(Vinchur),Onion,1455.03
2026-03-29T00:00:00.000Z,Pimpalgaon,Onion,1452.47
2026-03-29T00:00:00.000Z,Malegaon,Onion,1459.39
2026-03-29T00:00:00.000Z,Nandgaon,Onion,1316.55
2026-03-29T00:00:00.000Z,Pimpalgaon Baswant(Saykheda),Onion,1342.46
2026-03-29T00:00:00.000Z,Satana,Onion,1361.15
2026-03-29T00:00:00.000Z,Lasalgaon,Onion,1481.27
2026-03-29T00:00:00.000Z,Kalvan,Onion,1374.96
2026-03-29T00:00:00.000Z,Manmad,Onion,1303.15
2026-03-29T00:00:00.000Z,Dindori(Vani),Onion,1503.74
2026-03-29T00:00:00.000Z,Nasik,Onion,1396.48
2026-03-29T00:00:00.000Z,Devala,Onion,1432.02
2026-03-29T00:00:00.000Z,Chandvad,Onion,1378.69
2026-03-29T00:00:00.000Z,Sinner,Onion,1358.1
2026-03-29T00:00:00.000Z,Dindori,Onion,1425.04
2026-03-29T00:00:00.000Z,Yeola,Onion,1317.45
2026-03-29T00:00:00.000Z,Mankamneshwar Farmar Producer CoLtd Sanchalit Mank,Onion,1361.89
2026-03-29T00:00:00.000Z,Nampur,Onion,1309.73
2026-03-29T00:00:00.000Z,Umrane,Onion,1346.76
2026-03-29T00:00:00.000Z,Suragana,Onion,1333.41
2026-03-29T00:00:00.000Z,Malharshree Farmers Producer Co Ltd,Onion,1343.04
2026-03-29T00:00:00.000Z,Shree Rameshwar Krushi Market,Onion,1304.11
2026-03-29T00:00:00.000Z,Shivsiddha Govind Producer Company Limited Sanchal,Onion,1518.68
2026-03-29T00:00:00.000Z,Premium Krushi Utpanna Bazar,Onion,1333.41
2026-03-29T00:00:00.000Z,Lasalgaon(Niphad),Potato,1561.97
2026-03-29T00:00:00.000Z,Lasalgaon(Vinchur),Potato,1529.59
2026-03-29T00:00:00.000Z,Pimpalgaon,Potato,1554.86
2026-03-29T00:00:00.000Z,Malegaon,Potato,1572.89
2026-03-29T00:00:00.000Z,Nandgaon,Potato,1441.61
2026-03-29T00:00:00.000Z,Pimpalgaon Baswant(Saykheda),Potato,1438.9
2026-03-29T00:00:00.000Z,Satana,Potato,1468.6
2026-03-29T00:00:00.000Z,Lasalgaon,Potato,1566.05
2026-03-29T00:00:00.000Z,Kalvan,Potato,1438.59
2026-03-29T00:00:00.000Z,Manmad,Potato,1408.27
2026-03-29T00:00:00.000Z,Dindori(Vani),Potato,1589.71
2026-03-29T00:00:00.000Z,Nasik,Potato,1447.6
2026-03-29T00:00:00.000Z,Devala,Potato,1528.48
2026-03-29T00:00:00.000Z,Chandvad,Potato,1506.37
2026-03-29T00:00:00.000Z,Sinner,Potato,1450.75
2026-03-29T00:00:00.000Z,Dindori,Potato,1508.93
2026-03-29T00:00:00.000Z,Yeola,Potato,1405.61
2026-03-29T00:00:00.000Z,Mankamneshwar Farmar Producer CoLtd Sanchalit Mank,Potato,1445.12
2026-03-29T00:00:00.000Z,Nampur,Potato,1407.78
2026-03-29T00:00:00.000Z,Umrane,Potato,1451.47
2026-03-29T00:00:00.000Z,Suragana,Potato,1423.02
